iter	Passed	Remaining
0	0	764
1	1	646
2	1	580
3	2	577
4	2	577
5	3	561
6	3	556
7	4	562
8	5	570
9	5	570
10	6	566
11	6	556
12	7	552
13	7	550
14	8	548
15	8	540
16	9	537
17	9	536
18	10	541
19	11	543
20	11	545
21	12	543
22	12	543
23	13	540
24	13	538
25	14	536
26	14	533
27	15	532
28	15	531
29	16	528
30	16	530
31	17	530
32	18	532
33	18	535
34	19	535
35	19	533
36	20	531
37	20	531
38	21	530
39	21	527
40	22	526
41	23	528
42	23	528
43	24	527
44	24	525
45	25	525
46	25	524
47	26	521
48	26	521
49	27	520
50	27	518
51	28	518
52	29	518
53	29	518
54	30	518
55	30	516
56	31	515
57	31	514
58	32	513
59	32	514
60	33	513
61	33	511
62	34	510
63	34	510
64	35	509
65	36	510
66	36	510
67	37	512
68	37	511
69	38	510
70	38	508
71	39	506
72	39	505
73	40	504
74	40	503
75	41	502
76	42	503
77	42	504
78	43	503
79	43	502
80	44	501
81	44	500
82	44	496
83	45	495
84	45	494
85	46	493
86	46	492
87	47	491
88	47	491
89	48	491
90	49	491
91	49	490
92	50	490
93	50	489
94	51	488
95	51	487
96	52	486
97	52	485
98	53	483
99	53	482
100	54	481
101	54	482
102	55	480
103	55	480
104	56	480
105	56	479
106	57	477
107	57	477
108	58	477
109	58	476
110	59	475
111	59	474
112	60	473
113	60	473
114	61	473
115	61	472
116	62	470
117	62	470
118	63	470
119	63	469
120	64	469
121	64	467
122	65	467
123	66	467
124	66	466
125	67	466
126	67	466
127	68	465
128	68	465
129	69	464
130	69	463
131	70	463
132	70	462
133	71	461
134	71	460
135	72	460
136	73	460
137	73	460
138	74	460
139	74	459
140	75	459
141	75	457
142	76	456
143	76	455
144	77	454
145	77	453
146	78	454
147	78	453
148	79	452
149	79	452
150	80	452
151	81	452
152	81	451
153	81	450
154	82	449
155	82	447
156	83	447
157	83	446
158	84	445
159	84	444
160	84	442
161	85	441
162	85	441
163	86	441
164	87	441
165	87	440
166	88	439
167	88	438
168	89	437
169	89	437
170	89	436
171	90	435
172	90	434
173	91	433
174	91	432
175	92	433
176	93	433
177	93	432
178	94	431
179	94	430
180	94	429
181	95	429
182	96	428
183	96	428
184	97	427
185	97	426
186	97	425
187	98	425
188	99	425
189	99	425
190	100	425
191	100	424
192	101	424
193	101	423
194	102	423
195	103	422
196	103	422
197	104	421
198	104	421
199	105	421
200	106	421
201	106	421
202	107	421
203	107	420
204	108	420
205	109	420
206	109	420
207	110	420
208	111	420
209	111	420
210	112	420
211	113	420
212	113	419
213	114	419
214	114	419
215	115	418
216	115	418
217	116	417
218	116	416
219	117	416
220	118	416
221	118	415
222	119	415
223	119	415
224	120	414
225	120	413
226	121	412
227	121	411
228	122	411
229	122	410
230	123	410
231	123	410
232	124	409
233	124	409
234	125	408
235	125	407
236	126	406
237	126	405
238	127	405
239	127	404
240	128	403
241	128	403
242	129	402
243	129	401
244	130	401
245	130	401
246	131	400
247	131	399
248	132	399
249	132	398
250	133	397
251	133	396
252	134	397
253	134	396
254	135	395
255	135	395
256	136	395
257	137	394
258	137	394
259	138	393
260	138	392
261	139	392
262	139	391
263	140	390
264	140	390
265	141	389
266	141	388
